#id,nome,prioridade,ciclos_necessarios,recurso_necessario
1,Processo1,2,4,CPU
2,Processo2,1,7,DISCO
3,Processo3,3,5,CPU
4,Processo4,2,9,DISCO
5,Processo5,1,6,CPU
6,Processo6,3,2,DISCO
7,Processo7,2,8,CPU
8,Processo8,1,3,DISCO
9,Processo9,2,5,CPU
10,Processo10,3,4,DISCO
11,Processo11,1,6,CPU
12,Processo12,2,7,DISCO
13,Processo13,3,8,CPU
14,Processo14,2,2,DISCO
15,Processo15,1,9,CPU
16,Processo16,3,5,DISCO
17,Processo17,2,4,CPU
18,Processo18,1,7,DISCO
19,Processo19,3,6,CPU
20,Processo20,2,8,DISCO
21,Processo21,1,3,CPU
22,Processo22,2,9,DISCO
23,Processo23,3,5,CPU
24,Processo24,1,7,DISCO
25,Processo25,2,4,CPU
26,Processo26,3,6,DISCO
27,Processo27,1,8,CPU
28,Processo28,2,3,DISCO
29,Processo29,3,9,CPU
30,Processo30,2,5,DISCO
31,Processo31,1,7,CPU
32,Processo32,3,4,DISCO
33,Processo33,2,8,CPU
34,Processo34,1,6,DISCO
35,Processo35,3,5,CPU
36,Processo36,2,7,DISCO
37,Processo37,1,9,CPU
38,Processo38,3,3,DISCO
39,Processo39,2,6,CPU
40,Processo40,1,8,DISCO
41,Processo41,3,5,CPU
42,Processo42,2,4,DISCO
43,Processo43,1,7,CPU
44,Processo44,3,9,DISCO
45,Processo45,2,6,CPU
46,Processo46,1,8,DISCO
47,Processo47,3,4,CPU
48,Processo48,2,7,DISCO
49,Processo49,1,5,CPU
50,Processo50,3,6,DISCO

